Setting name,Investigation status,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify","Is this an At Risk Population? (Healthcare, Corrections, Highly Mobile, Schools, Critical Infrastructure)",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advantage Treatment Center- Sterling: September 2020,Resolved,11/9/2020,"Correctional, Other",,Yes,Logan,9/10/2020,56,17,,1,,,73,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AeroCare Holdings, Inc.- Colorado Springs",Resolved,12/31/2020,Healthcare - Outpatient,Durable Medical Equipment,,El Paso,12/31/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aerocare Holdings, Inc.- Denver",Resolved,12/13/2020,Healthcare - Outpatient,Durable Medical Equipment,,Adams,11/12/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AeroCare Holdings, Inc.- Pueblo (Elizabeth St)",Resolved,1/12/2021,Healthcare - Outpatient,Durable Medical Equipment,,Pueblo,12/8/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AeroCare Holdings, Inc.- Pueblo (Farabaugh Lane)",Resolved,1/12/2021,Healthcare - Outpatient,Durable Medical Equipment,,Pueblo,12/8/2020,,17,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AeroCare Holdings, Inc.- Silt",Resolved,5/18/2021,Healthcare - Outpatient,Durable Medical Equipment,,Garfield,5/5/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeropostale,Resolved,1/3/2021,Retailer,,,Larimer,12/15/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguirre Law Group,Resolved,6/22/2020,Office/Indoor Workspace,,,Adams,6/3/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Trailer Repair,Resolved,9/15/2020,Other,Auto Repair,,Denver,8/25/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Academy High School: March 2021,Resolved,4/5/2021,School K-12,,Yes,El Paso,3/18/2021,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Academy High School: November 2020,Resolved,12/15/2020,School K-12,,Yes,El Paso,11/13/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Comfort Inc.,Resolved,5/12/2021,Construction Company/Contractor,,,Larimer,4/19/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Squared Mfg, Inc",Resolved,9/30/2020,Non-Food Manufacturer/Warehouse,,,Broomfield,9/4/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airgas,Resolved,5/27/2021,Materials Supplier,,,Pueblo,5/3/2021,,10,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda International Jr/Sr High ,Resolved,12/7/2020,School K-12,,Yes,Jefferson,10/29/2020,,,14,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamosa County Dept. of Human Services,Resolved,11/19/2020,Municipal/Local Government,,Yes,Alamosa,11/2/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamosa County Detention Facility,Resolved,2/23/2021,Jail,,Yes,Alamosa,1/28/2021,2,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamosa Elementary K-2,Resolved,5/21/2021,School K-12,,Yes,Alamosa,4/26/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamosa High School,Resolved,6/18/2021,School K-12,,Yes,Alamosa,5/12/2021,,,16,,,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamosa Sheriff's Office & Detention Facility,Resolved,12/18/2020,"Correctional, Other",,Yes,Alamosa,12/1/2020,2,9,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertsons #0816: April 2021,Resolved,5/14/2021,Grocery Store,,,Pueblo,4/17/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertsons #0816: February 2021,Resolved,2/19/2021,Grocery Store,,,Pueblo,11/19/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemy Food Co,Resolved,4/26/2021,Food Manufacturing/Packaging,,Yes,Denver,4/5/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchemy Processing Laboratory ,Resolved,12/5/2020,Non-Food Manufacturer/Warehouse,,,Jefferson,11/10/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alicia Sanchez Elementary School,Resolved,5/29/2021,School K-12,,Yes,Boulder,5/18/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Copy Products,Resolved,8/17/2020,Materials Supplier,Photocopier Supplier,,Denver,7/20/2020,,20,,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Hands In,Resolved,9/24/2020,Healthcare - Group Home,,Yes,Arapahoe,9/24/2020,3,1,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Health Network Santa Fe House,Resolved,3/5/2021,Healthcare - Psychiatric Hospital,,Yes,Arapahoe,2/2/2021,3,4,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Points North,Resolved,12/7/2020,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),,Yes,Eagle,12/1/2020,14,7,,,,,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Recycling,Resolved,3/2/2021,Other,Recycling Facility,,Arapahoe,11/10/2020,,27,,,,,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegion LLC,Resolved,1/29/2021,Office/Indoor Workspace,,,El Paso,11/11/2020,,18,,,1,,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Heating and Air,Resolved,4/28/2021,Construction Company/Contractor,,,Larimer,4/20/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alles Taylor & Duke, LLC",Resolved,3/30/2021,Office/Indoor Workspace,,,Weld,3/9/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliance Construction,Resolved,9/30/2020,Construction Site,,Yes,Adams,9/8/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Care Center (020406): April 2020,Resolved,8/3/2020,Healthcare - Skilled Nursing,,Yes,Jefferson,4/17/2020,46,14,,11,,,60,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Care Center (020406): April 2021,Resolved,6/8/2021,Healthcare - Skilled Nursing,,Yes,Jefferson,4/27/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allison Care Center (020406): December 2020,Resolved,3/1/2021,Healthcare - Skilled Nursing,,Yes,Jefferson,12/16/2020,10,7,,1,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allura Skin, Laser, and Wellness",Resolved,11/21/2020,Healthcare - Outpatient,Medical Spa,,Larimer,10/29/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almar Residential Facility ,Resolved,2/10/2021,Healthcare - Group Home,,Yes,Sedgwick,1/6/2021,2,3,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Like Home (23Y383): April 2021,Resolved,5/25/2021,Healthcare - Assisted Living,,Yes,Jefferson,5/3/2021,3,3,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Like Home (23Y383): August 2020,Resolved,9/8/2020,Healthcare - Assisted Living,,Yes,Jefferson,8/12/2020,5,4,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almost Like Home (23Y383): December 2020,Resolved,2/25/2021,Healthcare - Assisted Living,,Yes,Jefferson,12/22/2020,30,22,,2,,,52,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpacka Raft,Resolved,12/7/2020,Retailer,,,Montezuma,12/16/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Insulation and Waterproofing,Resolved,6/22/2020,Construction Company/Contractor,roof maintenance services,,Denver,5/1/2020,,15,,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Autism Center,Resolved,1/1/2021,Healthcare - Facility for Developmentally Disabled (outpatient),,Yes,El Paso,12/28/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Bank - Carbondale,Resolved,8/12/2020,Office/Indoor Workspace,,,Garfield,7/18/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Bank - Telluride,Resolved,3/15/2021,Office/Indoor Workspace,,,San Miguel,3/12/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Dance Academy: March 2021,Resolved,5/5/2021,Youth Sports/Activities,Dance Studio,,Summit,4/1/2021,,,17,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Dance Academy: November 2020,Resolved,12/3/2020,Youth Sports/Activities,Dance Studio,,Summit,11/11/2020,,1,2,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Elementary School- Early Education,Resolved,12/15/2020,Child Care Center,,Yes,Boulder,11/23/2020,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alpine ENT, PC",Resolved,10/22/2020,Healthcare - Outpatient,ENT Clinic,,Larimer,9/22/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Living Center (020410): February 2021,Resolved,3/22/2021,Healthcare - Skilled Nursing,,Yes,Adams,2/24/2021,1,2,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Living Center (020410): January 2021,Resolved,1/18/2021,Healthcare - Skilled Nursing,,Yes,Adams,1/13/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Living Center (020410): July 2020,Resolved,9/8/2020,Healthcare - Skilled Nursing,,Yes,Adams,7/24/2020,31,17,,10,,,48,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Living Center (020410): May 2021,Resolved,6/1/2021,Healthcare - Skilled Nursing,,Yes,Adams,5/17/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Living Center (020410): October 2020,Resolved,12/11/2020,Healthcare - Skilled Nursing,,Yes,Adams,10/14/2020,17,22,,4,,,39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Living Center (020410): September 2020,Resolved,9/24/2020,Healthcare - Skilled Nursing,,Yes,Adams,9/11/2020,3,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Lumber - Frederick,Resolved,5/19/2021,Materials Supplier,,,Weld,3/30/2021,,8,,,,,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Lumber - Montrose,Resolved,8/10/2021,Materials Supplier,,,Montrose,6/7/2021,,10,,,,,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Potato,Resolved,12/9/2020,Food Warehouse,,Yes,Alamosa,11/17/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Volleyball Academy,Resolved,3/26/2021,Youth Sports/Activities,,,Broomfield,3/9/2021,,,20,,,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Waste and Recycling (GFL Environmental),Resolved,7/7/2020,Other,Waste Management,Yes,Adams,6/4/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altair Strickland,Resolved,6/14/2021,Construction Company/Contractor,,,Adams,5/24/2021,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altavita Memory Care Center (23H130),Resolved,3/16/2021,Healthcare - Memory Care,,Yes,Boulder,1/13/2021,16,17,,5,,,33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative Homes for Youth ,Resolved,1/6/2021,Homeless Shelter,Youth Residential Center,Yes,Weld,11/19/2020,7,6,,,,,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternatives to Violence,Resolved,6/4/2021,Other,Domestic Violence Program,Yes,Larimer,5/6/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitude Elementary School,Resolved,4/14/2021,School K-12,,Yes,Arapahoe,3/10/2021,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitude Landscaping,Resolved,12/14/2020,Home Maintenance Services,Landscaping Service,,La Plata,12/8/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altitude Salon,Resolved,11/23/2020,Personal Services,Hair Salon,,Douglas,10/27/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altman Specialty Plants,Resolved,2/22/2021,Retailer,Plant Nursery with Retail/Wholesale,,El Paso,11/25/2020,,22,,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altura Elementary School,Resolved,5/18/2021,School K-12,,Yes,Adams,4/23/2021,,1,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumicolor,Resolved,12/31/2020,Office/Indoor Workspace,,,Larimer,12/8/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing Smiles,Resolved,11/19/2020,Healthcare - Outpatient,Dental Office,,Adams,10/30/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Den 5,Resolved,7/8/2020,Distribution Center/Business,Distribution,,Adams,5/27/2020,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amberwood Court Rehabilitation and Care Community (020460),Resolved,5/23/2020,Healthcare - Skilled Nursing,,Yes,Denver,3/27/2020,26,16,,15,,,42,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Academy -  Castle Pines,Resolved,2/5/2021,School K-12,,Yes,Douglas,11/24/2020,,,3,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Academy - Lincoln Meadows: February 2021,Resolved,3/17/2021,School K-12,,Yes,Douglas,2/18/2021,,2,12,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Academy - Lincoln Meadows: May 2021,Resolved,6/6/2021,School K-12,,Yes,Douglas,5/12/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Academy - Motsenbocker: February 2021,Resolved,3/17/2021,School K-12,,Yes,Douglas,2/22/2021,,1,8,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Academy - Motsenbocker: October 2020,Resolved,11/28/2020,School K-12,,Yes,Douglas,11/2/2020,,3,1,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Academy Preschool,Resolved,12/21/2020,Child Care Center,,Yes,Douglas,10/20/2020,,4,3,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Electric,Resolved,12/10/2020,Materials Supplier,,,Alamosa,11/16/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Furniture Warehouse #32,Resolved,7/3/2021,Retailer,,,Adams,10/28/2020,,154,,,,,154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Furniture Warehouse #62,Resolved,7/28/2021,Retailer,,,Douglas,11/3/2020,,139,,,,,139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Furniture Warehouse- Colorado Springs,Resolved,7/18/2021,Retailer,,,El Paso,8/18/2020,,41,,,,,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Lock & Key,Resolved,1/1/2021,Retailer,Locksmith,,El Paso,12/8/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Power Systems,Resolved,2/20/2021,Materials Supplier,,,Douglas,1/19/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Produce,Resolved,1/7/2021,Food Warehouse,,Yes,Denver,11/23/2020,,22,,,1,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmeriGas Propane,Resolved,8/19/2020,Office/Indoor Workspace,,,Larimer,7/24/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameristar Casinos: July 2020,Resolved,2/23/2021,Casino,,,Gilpin,7/21/2020,,49,,,,,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameristar Casinos: March 2021,Resolved,3/30/2021,Casino,,,Gilpin,3/3/2021,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anastasis Academy,Resolved,3/26/2021,School K-12,,Yes,Arapahoe,3/3/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANB Bank,Resolved,3/25/2021,Office/Indoor Workspace,,,El Paso,2/18/2021,,22,,,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Podiatry Center,Resolved,11/28/2020,Healthcare - Outpatient,Podiatry Office,,Larimer,11/2/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wommack Ministries Incorporated,Resolved,7/12/2021,Religious Facility,,,Teller,8/19/2020,,150,3,,,,153,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Wommack Ministries Incorporated: Summer Family Bible Conference,Resolved,8/14/2020,Fair/Festival/Temp. Mobile Event,,,Teller,7/14/2020,,27,17,,,1,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelic Hands,Resolved,12/29/2020,Other,Home Care Agency - Non Medical,,Montezuma,12/17/2020,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anheuser-Busch Metal Container Corp. - Windsor,Resolved,3/17/2021,Materials Supplier,,,Weld,1/12/2021,,15,,,,,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anheuser-Busch- Denver,Resolved,6/3/2020,Food Distribution,Distribution Center,Yes,Adams,5/7/2020,,17,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anheuser-Busch- Loveland,Resolved,7/7/2020,Food Distribution,Manufacturing,Yes,Larimer,5/15/2020,,11,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anhueser Busch Brewery- Fort Collins,Resolved,6/28/2021,Food Manufacturing/Packaging,,Yes,Larimer,11/25/2020,,61,,,,,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Animal Clinic, LLC ",Resolved,4/5/2021,Other,Veterinary Clinic,,Weld,3/22/2021,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Emergency and Specialty Center: April 2021,Resolved,5/16/2021,Other,Veterinary Clinic,,Douglas,4/22/2021,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Emergency and Specialty Center: November 2020,Resolved,12/17/2020,Other,Veterinary Clinic,,Douglas,11/3/2020,,7,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animal Medical Center of Woodland Park,Resolved,12/22/2020,Other,Veterinary Clinic,,Teller,11/6/2020,,9,,,,,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Jo Garcia Haynes Early Learning Center,Resolved,12/31/2020,Child Care Center,,Yes,Denver,11/30/2020,,3,1,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Trails Elementary School,Resolved,4/1/2021,School K-12,,Yes,El Paso,3/12/2021,,,2,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony's Pizza and Pasta - Golden,Resolved,12/1/2020,Restaurant - Sit Down,,,Jefferson,11/3/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony's Pizza and Pasta - Longmont,Resolved,5/25/2021,Restaurant - Sit Down,,,Boulder,5/5/2021,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio's Real NY Pizza,Resolved,12/16/2020,Restaurant - Sit Down,,,Larimer,11/17/2020,,3,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonito High School,Resolved,4/4/2021,School K-12,,Yes,Conejos,3/9/2021,,,4,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aperio Global, LLC",Resolved,3/12/2021,Office/Indoor Workspace,,,El Paso,2/18/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apex Sports,Resolved,2/13/2021,Other,Auto Dealership,,El Paso,1/20/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apothecary Farms,Resolved,4/15/2021,Retailer,Marijuana Dispensary,,Denver,3/15/2021,,11,,,,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Store - Cherry Creek,Resolved,3/25/2021,Retailer,,,Denver,1/21/2021,,14,,,,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Store - Colorado Springs,Resolved,6/14/2021,Retailer,,,El Paso,5/28/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Tree Assisted Living (2305I0),Resolved,6/25/2020,Healthcare - Assisted Living,,Yes,El Paso,4/17/2020,2,3,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applebee's- Aurora,Resolved,5/26/2021,Restaurant - Sit Down,,,Arapahoe,4/30/2021,,6,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applebee's- Durango,Resolved,12/9/2020,Restaurant - Sit Down,,,La Plata,11/19/2020,,5,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applebee's- Greeley,Resolved,8/18/2020,Restaurant - Sit Down,,,Weld,7/22/2020,,4,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applebee's- Pueblo,Resolved,3/2/2021,Restaurant - Sit Down,,,Pueblo,3/1/2021,,2,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
