Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Jefferson County Detention Center: May 2020,2020-08-27,Jail,,Jefferson,2020-05-05,83,16,,1,,,99,1,,,,,,,
Leprino - Denver,2020-05-26,Other,Laboratory,Denver,2020-05-05,,6,,,,,6,0,,,,,,,
MorningStar at Jordan (23E528): May 2020,2020-06-25,Healthcare - Assisted Living,,Arapahoe,2020-05-05,38,21,,12,,,59,12,,,,,,,
Sunset Manor (020186): April 2020,2020-06-30,Healthcare - Nursing Facility,,Morgan,2020-05-05,21,17,,6,,,38,6,,,,,,,
Walmart Distribution Center: May 2020,2020-06-19,Distribution Center/Business,,Larimer,2020-05-05,,33,,,,,33,0,,,,,,,
Colorado Mushroom Farm: May 2020,2020-06-18,Farm/Dairy,,Alamosa,2020-05-06,,29,,,,,29,0,,,,,,,
Culinaire Foods,2020-05-27,Food Manufacturing/Packaging,,Denver,2020-05-06,,14,,,,,14,0,,,,,,,
Harbor Light,2020-08-04,Healthcare - Alcohol/Drug Abuse Treatment (inpatient),Rehab center,Denver,2020-05-06,24,5,,,,,29,0,,,,,,,
Park Regency Thornton (23Q568): May 2020,2020-06-16,Healthcare - Assisted Living,,Adams,2020-05-06,3,1,,1,,,4,1,,,,,,,
Villa Manor Care Center (020451): May 2020,2020-07-02,Healthcare - Nursing Facility,,Jefferson,2020-05-06,68,56,,20,,,124,20,,,,,,,
Anheuser-Busch- Denver,2020-06-03,Food Distribution,Distribution Center,Adams,2020-05-07,,17,,,,,17,0,,,,,,,
Carniceria Sonora,2020-06-04,Grocery Store,,Montrose,2020-05-07,,7,,,,,7,0,,,,,,,
Costco Wholesale #439: May 2020,2020-06-16,Retailer,,Arapahoe,2020-05-07,,11,,,,,11,0,,,,,,,
