Setting name,Date outbreak was considered closed:,COVID Setting Type,"If setting type is other, specify",Colorado county (exposure location),Date reported to public health,Total resident cases,Total staff cases,Total attendee cases,Total resident deaths,Total staff deaths ,Total attendee deaths,Total cases,Total deaths,,,,,,,
Morningstar of Fort Collins (23A846): November 2022,2023-01-15,Healthcare - Assisted Living,,Larimer,2022-11-08,19,14,,1,,,33,1,,,,,,,
The Granville Assisted Living Center (23045K): November 2022,2022-12-05,Healthcare - Assisted Living,,Jefferson,2022-11-08,2,1,,,,,3,0,,,,,,,
Willow Tree Care Center (021121): November 2022,2022-11-28,Healthcare - Nursing Facility,,Delta,2022-11-08,10,4,,,,,14,0,,,,,,,
Centennial Correctional Facility: November 2022,2023-01-23,State Prison,,Colorado,2022-11-09,32,76,,,,,108,0,,,,,,,
Harvard Square Memory Care (23Z783),2022-12-02,Healthcare - Assisted Living,,Denver,2022-11-09,12,5,,,,,17,0,,,,,,,
Kiowa Hills Health and Rehabilitation Center (020559): November 2022,2022-12-05,Healthcare - Nursing Facility,,El Paso,2022-11-09,23,6,,2,,,29,2,,,,,,,
MorningStar of Arvada (23T231): November 2022,2022-11-11,Healthcare - Assisted Living,,Jefferson,2022-11-09,2,2,,,,,4,0,,,,,,,
Porter Adventist Hospital - GeriPsych Unit: November 2022,2022-12-08,Healthcare - Acute Care Hospital,,Denver,2022-11-09,6,,,,,,6,0,,,,,,,
South Platte Health and Rehabilitation Center (020186): November 2022,2023-01-17,Healthcare - Nursing Facility,,Morgan,2022-11-09,10,13,,,,,23,0,,,,,,,
The Pavilion at Villa Pueblo (020640): November 2022,2023-01-10,Healthcare - Nursing Facility,,Pueblo,2022-11-09,14,15,,,,,29,0,,,,,,,
Brookdale Pinehurst Park (2304CA): November 2022,2022-12-12,Healthcare - Assisted Living,,Denver,2022-11-10,10,4,,,,,14,0,,,,,,,
Devonshire Acres Skilled Nursing (020193): November 2022,2022-12-27,Healthcare - Nursing Facility,,Logan,2022-11-10,19,26,,,,,45,0,,,,,,,
Frasier Meadows Manor Inc. Assisted Living Center (23J640): November 2022,2023-01-13,Healthcare - Assisted Living,,Boulder,2022-11-10,12,9,,,,,21,0,,,,,,,
Friendship House at the Home (23C967): November 2022,2022-11-28,Healthcare - Assisted Living,,Fremont,2022-11-10,3,2,,,,,5,0,,,,,,,
Highline Rehabilitation and Care Community (020437): November 2022,2022-11-24,Healthcare - Nursing Facility,,Denver,2022-11-10,1,,,,,,1,0,,,,,,,
Hyland Hills Senior Living (23B428): November 2022,2022-12-07,Healthcare - Assisted Living,,Adams,2022-11-10,31,15,,1,,,46,1,,,,,,,
Inn Between (23045S): November 2022,2022-11-29,Healthcare - Assisted Living,,Jefferson,2022-11-10,6,1,,,,,7,0,,,,,,,
Lark Springs (2305S9): November 2022,2022-11-22,Healthcare - Assisted Living,,El Paso,2022-11-10,,3,,,,,3,0,,,,,,,
Life Care Center of Aurora (0204F6): November 2022,2022-12-10,Healthcare - Nursing Facility,,Arapahoe,2022-11-10,24,15,,,,,39,0,,,,,,,
Mantey Heights Rehabilitation and Care Center (021149): November 2022,2023-01-11,Healthcare - Nursing Facility,,Mesa,2022-11-10,34,34,,,,,68,0,,,,,,,
Mount View Youth Services Center: November 2022,2022-12-29,"Correctional, Other",,Colorado,2022-11-10,9,9,,,,,18,0,,,,,,,
North Shore Health & Rehab Facility (020331): November 2022,2023-01-01,Healthcare - Nursing Facility,,Larimer,2022-11-10,56,12,,2,,,68,2,,,,,,,
The Vineyards Memory Care (23S295): November 2022,2022-11-22,Healthcare - Assisted Living,,Mesa,2022-11-10,3,,,,,,3,0,,,,,,,
Valley House Assisted Living (2305HL): November 2022,2022-11-30,Healthcare - Assisted Living,,Douglas,2022-11-10,6,1,,,,,7,0,,,,,,,
Westlake Care Community (020427): November 2022,2022-12-01,Healthcare - Nursing Facility,,Jefferson,2022-11-10,1,1,,,,,2,0,,,,,,,
Aspen Ridge Alzheimer's Special Care Center (23W376): November 2022,2022-12-30,Healthcare - Assisted Living,,Mesa,2022-11-14,30,13,,1,,,43,1,,,,,,,
Bridge Assisted Living At Life Care Ctr Of Greeley (23036H): November 2022,2023-01-14,Healthcare - Assisted Living,,Weld,2022-11-14,28,10,,,,,38,0,,,,,,,
Chateau At Sharmar Assisted Living (2306N1): November 2022,2022-12-12,Healthcare - Assisted Living,,Pueblo,2022-11-14,21,9,,,,,30,0,,,,,,,
Columbine West Health & Rehab Facility (020335): November 2022,2023-02-04,Healthcare - Nursing Facility,,Larimer,2022-11-14,20,26,,,,,46,0,,,,,,,
Flourish Supportive Living At 63RD (231B3R),2022-11-28,Healthcare - Assisted Living,,Jefferson,2022-11-14,3,1,,,,,4,0,,,,,,,
Grand Junction Regional Center-House 2 (05112A): November 2022,2022-11-26,Healthcare - Intermediate Care,,Colorado,2022-11-14,4,4,,,,,8,0,,,,,,,
Grand Junction Regional Center-House 6 (061162): November 2022,2022-11-23,Healthcare - Intermediate Care,,Colorado,2022-11-14,1,,,,,,1,0,,,,,,,
Heritage Park Care Center (020845): December 2022,2023-01-07,Healthcare - Nursing Facility,,Garfield,2022-11-14,3,6,,,,,9,0,,,,,,,
Kinnick Center RTF (2303FH): November 2022,2022-11-30,Healthcare - Assisted Living,,Weld,2022-11-14,1,,,,,,1,0,,,,,,,
Larchwood Inns (0211OZ): November 2022,2022-11-30,Healthcare - Nursing Facility,,Mesa,2022-11-14,1,2,,,,,3,0,,,,,,,
MorningStar at Jordan (23E528): November 2022,2023-01-03,Healthcare - Assisted Living,,Arapahoe,2022-11-14,27,8,,1,,,35,1,,,,,,,
MorningStar of Boulder (23F542): November 2022,2022-12-19,Healthcare - Assisted Living,,Boulder,2022-11-14,23,9,,,,,32,0,,,,,,,
Promedica Skilled Nursing and Rehabilitation - Boulder (020315): November 2022,2022-12-02,Healthcare - Nursing Facility,,Boulder,2022-11-14,,3,,,,,3,0,,,,,,,
Salvation Army - Harbor Lights: November 2022,2022-12-13,Homeless Shelter,,Denver,2022-11-14,7,,,,,,7,0,,,,,,,
St Paul Health Center (020448): November 2022,2023-01-16,Healthcare - Nursing Facility,,Denver,2022-11-14,23,10,,,,,33,0,,,,,,,
Starpoint Children's Services: November 2022,2022-12-12,Child Care Center,,Fremont,2022-11-14,,5,,,,,5,0,,,,,,,
The Bridge at Alamosa (23Y773): November 2022,2022-12-10,Healthcare - Assisted Living,,Alamosa,2022-11-14,19,2,,,,,21,0,,,,,,,
The Legacy at Monte Vista (2310NW): November 2022,2022-11-30,Healthcare - Assisted Living,,Rio Grande,2022-11-14,10,2,,,,,12,0,,,,,,,
Augustana Elk Run Assisted Living (23R962): November 2022,2022-12-23,Healthcare - Assisted Living,,Jefferson,2022-11-15,9,1,,1,,,10,1,,,,,,,
Belleview Suites At DTC Assisted Living & Memory (2304VK): November 2022,2022-12-03,Healthcare - Assisted Living,,Denver,2022-11-15,,6,,,,,6,0,,,,,,,
Brookdale Boulder Creek (2303QF): November 2022,2022-11-28,Healthcare - Assisted Living,,Boulder,2022-11-15,1,,,,,,1,0,,,,,,,
Brookdale Longmont (2303JU): November 2022,2022-12-29,Healthcare - Assisted Living,,Boulder,2022-11-15,17,6,,1,,,23,1,,,,,,,
Brookshire House Rehabilitation and Care Community (020403): November 2022,2023-01-25,Healthcare - Nursing Facility,,Denver,2022-11-15,26,12,,,,,38,0,,,,,,,
Castle Peak Assisted Living (23Q262): November 2022,2022-11-28,Healthcare - Assisted Living,,Eagle,2022-11-15,2,,,,,,2,0,,,,,,,
Eben Ezer Lutheran Care Center (020170): November 2022,2022-12-27,Healthcare - Nursing Facility,,Morgan,2022-11-15,7,20,,,,,27,0,,,,,,,
Eben Ezer Lutheran Care Center Assisted Living (230109): November 2022,2022-11-29,Healthcare - Assisted Living,,Morgan,2022-11-15,4,,,,,,4,0,,,,,,,
Good Samaritan Society- Loveland Village (020366): November 2022,2023-01-12,Healthcare - Nursing Facility,,Larimer,2022-11-15,34,28,,5,,,62,5,,,,,,,
MorningStar of Parker (23X291): November 2022,2023-01-31,Healthcare - Assisted Living,,Douglas,2022-11-15,33,17,,,,,50,0,,,,,,,
Peakview Assisted Living and Memory Care (23F490): November 2022,2023-01-10,Healthcare - Assisted Living,,Arapahoe,2022-11-15,24,14,,,,,38,0,,,,,,,
Springbrooke Retirement and Assisted Living (2304I0): November 2022,2022-12-05,Healthcare - Assisted Living,,Denver,2022-11-15,3,1,,,,,4,0,,,,,,,
Sterling Health and Rehabilitation Center (020165): November 2022,2023-01-04,Healthcare - Nursing Facility,,Logan,2022-11-15,27,25,,,,,52,0,,,,,,,
The Fountains of Hilltop (2311QA): November 2022,2022-12-16,Healthcare - Assisted Living,,Mesa,2022-11-15,19,5,,,,,24,0,,,,,,,
The Harmony Home LLC - Jay Drive #1 (2301FP): November 2022,2022-12-20,Healthcare - Assisted Living,,Logan,2022-11-15,5,2,,,,,7,0,,,,,,,
Amberwood Court Rehabilitation and Care Community (020460): November 2022,2023-01-23,Healthcare - Nursing Facility,,Denver,2022-11-16,35,28,,,,,63,0,,,,,,,
Avamere Transitional Care and Rehabilitation (020399): January 2023,2023-03-07,Healthcare - Nursing Facility,,Adams,2022-11-16,21,27,,,,,48,0,,,,,,,
Brookside Assisted Living (230514): November 2022,2022-12-05,Healthcare - Assisted Living,,El Paso,2022-11-16,13,2,,,,,15,0,,,,,,,
Harmony Home - Fort Morgan I (2301CF) & Harmony Home - Fort Morgan II (2301SC): November 2022,2022-12-16,Healthcare - Assisted Living,,Morgan,2022-11-16,6,1,,,,,7,0,,,,,,,
La Puente Home Inc.: November 2022,2022-12-19,Homeless Shelter,,Alamosa,2022-11-16,9,,,,,,9,0,,,,,,,
Life Care Center of Colorado Springs (0205X1): November 2022,2022-12-09,Healthcare - Nursing Facility,,El Paso,2022-11-16,6,1,,,,,7,0,,,,,,,
Orchard Valley Health & Rehabilitation Center (021137): November 2022,2022-12-30,Healthcare - Nursing Facility,,Mesa,2022-11-16,24,10,,1,,,34,1,,,,,,,
Rio Grande Inn (02I146): November 2022,2022-12-13,Healthcare - Nursing Facility,,Conejos,2022-11-16,2,,,,,,2,0,,,,,,,
RTD - Boulder Facility,2023-02-25,Other,Public Transportation,Boulder,2022-11-16,,3,,,,,3,0,,,,,,,
Sedgwick County Memorial Nursing Home (020199): November 2022,2022-12-17,Healthcare - Nursing Facility,,Sedgwick,2022-11-16,8,8,,,,,16,0,,,,,,,
The Center at Park West LLC (02E472): November 2022,2022-12-13,Healthcare - Nursing Facility,,Pueblo,2022-11-16,3,,,,,,3,0,,,,,,,
Vi at Highlands Ranch Skilled Nursing (02M203): November 2022,2023-01-19,Healthcare - Nursing Facility,,Douglas,2022-11-16,2,12,,,,,14,0,,,,,,,
Brookdale Vista Grande (23053C): November 2022,2023-01-13,Healthcare - Assisted Living,,El Paso,2022-11-17,25,11,,2,,,36,2,,,,,,,
Las Animas County Jail: November 2022,2022-12-15,Jail,,Las Animas,2022-11-17,10,8,,,,,18,0,,,,,,,
Morgan County Detention Center: October 2022,2022-12-12,Jail,,Morgan,2022-11-17,4,,,,,,4,0,,,,,,,
MorningStar at Mountain Shadows (23Y392): November 2022,2022-12-13,Healthcare - Assisted Living,,El Paso,2022-11-17,6,5,,1,,,11,1,,,,,,,
Brookdale Monument Valley Park (2305WD): November 2022,2023-01-13,Healthcare - Assisted Living,,El Paso,2022-11-18,28,13,,,,,41,0,,,,,,,
Cambridge Care Center (020441): November 2022,2022-12-16,Healthcare - Nursing Facility,,Jefferson,2022-11-18,,6,,,,,6,0,,,,,,,
Caring Souls Assisted Living At Tollgate (23D456): November 2022,2022-11-28,Healthcare - Assisted Living,,Arapahoe,2022-11-18,1,,,,,,1,0,,,,,,,
Christopher House Rehabilitation And Care Community (020472): November 2022,2022-12-28,Healthcare - Nursing Facility,,Jefferson,2022-11-18,28,14,,1,,,42,1,,,,,,,
Masters Touch Homes (2304L5): November 2022,2022-12-16,Healthcare - Assisted Living,,Arapahoe,2022-11-18,7,2,,1,,,9,1,,,,,,,
Retreat at Harbor Cove (23114D): November 2022,2022-12-16,Healthcare - Assisted Living,,Mesa,2022-11-18,12,5,,,,,17,0,,,,,,,
Stonecreek of Littleton (23N524): November 2022,2022-12-29,Healthcare - Assisted Living,,Arapahoe,2022-11-18,21,4,,2,,,25,2,,,,,,,
Summit Middle School: November 2022,2023-01-09,School K-12,,Summit,2022-11-18,,2,7,,,,9,0,,,,,,,
The Gardens Care Homes - Meadow Hills (23H518): November 2022,2022-12-12,Healthcare - Assisted Living,,Arapahoe,2022-11-18,11,2,,,,,13,0,,,,,,,
The Gathering Place: November 2022,2022-12-15,Homeless Shelter,,Denver,2022-11-18,2,,,,,,2,0,,,,,,,
The Peaks Care Center (020391): November 2022,2023-01-17,Healthcare - Nursing Facility,,Boulder,2022-11-18,36,10,,4,,,46,4,,,,,,,
Waneka Park - Assisted Living Residence (230322): November 2022,2023-01-03,Healthcare - Assisted Living,,Boulder,2022-11-18,10,4,,,,,14,0,,,,,,,
Balfour at Longmont (23L108): November 2022,2022-12-06,Healthcare - Assisted Living,,Boulder,2022-11-21,1,3,,,,,4,0,,,,,,,
Broadmoor Court (230540): November 2022,2022-12-08,Healthcare - Assisted Living,,El Paso,2022-11-21,2,,,,,,2,0,,,,,,,
Casey's Pond Senior Living (23Y775): November 2022,2022-12-08,Healthcare - Assisted Living,,Routt,2022-11-21,2,,,,,,2,0,,,,,,,
Cherry Hills Assisted Living and Memory Care (23K182): November 2022,2022-12-07,Healthcare - Assisted Living,,Arapahoe,2022-11-21,3,2,,,,,5,0,,,,,,,
Crossroads at Delta ALF (23R567): November 2022,2022-12-13,Healthcare - Assisted Living,,Delta,2022-11-21,11,6,,1,,,17,1,,,,,,,
Gardens On Quail (23U764): November 2022,2022-12-02,Healthcare - Assisted Living,,Jefferson,2022-11-21,,,,,,,0,0,,,,,,,
Juniper Village - The Spearly Center (020424): November 2022,2022-12-11,Healthcare - Nursing Facility,,Denver,2022-11-21,25,,,,,,25,0,,,,,,,
Juniper Village at Aurora (2304S1): November 2022,2022-12-07,Healthcare - Assisted Living,,Arapahoe,2022-11-21,5,2,,,,,7,0,,,,,,,
Life Care Center of Stonegate (02C450): November 2022,2023-01-26,Healthcare - Nursing Facility,,Douglas,2022-11-21,5,10,,,,,15,0,,,,,,,
Orchard Park Health Care Center (020468): November 2022,2022-12-21,Healthcare - Nursing Facility,,Arapahoe,2022-11-21,10,9,,,,,19,0,,,,,,,
Park Regency Thornton (23Q568): November 2022,2022-12-20,Healthcare - Assisted Living,,Adams,2022-11-21,13,5,,,,,18,0,,,,,,,
Progressive Care Center (020658): November 2022,2022-12-05,Healthcare - Nursing Facility,,Fremont,2022-11-21,2,,,,,,2,0,,,,,,,
Sprawka Residential Center (050104): November 2022,2022-12-02,Healthcare - RCFDD Group home,,Logan,2022-11-21,5,3,,,,,8,0,,,,,,,
The Suites at Someren Glen Care Center (020471): November 2022,2022-12-02,Healthcare - Nursing Facility,,Arapahoe,2022-11-21,2,2,,,,,4,0,,,,,,,
Arbor View (020414): November 2022,2023-01-02,Healthcare - Nursing Facility,,Jefferson,2022-11-22,1,9,,,,,10,0,,,,,,,
Brookdale Meridian Englewood (23N600): November 2022,2022-12-21,Healthcare - Assisted Living,,Arapahoe,2022-11-22,3,,,,,,3,0,,,,,,,
Eddie's House LLC (230662),2022-12-12,Healthcare - Assisted Living,,Pueblo,2022-11-22,4,,,,,,4,0,,,,,,,
Harvard Square Retirement Community (230428): November 2022,2022-12-14,Healthcare - Assisted Living,,Denver,2022-11-22,21,6,,1,,,27,1,,,,,,,
Jerusalem Assisted Living Facility (23T697): November 2022,2022-12-03,Healthcare - Assisted Living,,Denver,2022-11-22,1,,,,,,1,0,,,,,,,
Juniper Village at Louisville (23033N): November 2022,2023-01-16,Healthcare - Assisted Living,,Boulder,2022-11-22,29,11,,1,,,40,1,,,,,,,
Morrison Manor LLC (23R667): November 2022,2022-12-16,Healthcare - Assisted Living,,Jefferson,2022-11-22,5,5,,,,,10,0,,,,,,,
Steamboat Montessori,2023-01-12,School K-12,,Routt,2022-11-22,,,3,,,,3,0,,,,,,,
The Gardens at Columbine (2304QP): November 2022,2022-12-26,Healthcare - Assisted Living,,Arapahoe,2022-11-22,15,10,,1,,,25,1,,,,,,,
The Suites Parker (02K186): November 2022,2023-01-05,Healthcare - Nursing Facility,,Douglas,2022-11-22,19,23,,,,,42,0,,,,,,,
TRU PACE Community Care: November 2022,2022-12-27,Healthcare - Outpatient,,Boulder,2022-11-22,,2,,,,,2,0,,,,,,,
Wide Horizon Inc. (020464): November 2022,2022-12-13,Healthcare - Nursing Facility,,Jefferson,2022-11-22,9,8,,2,,,17,2,,,,,,,
Aviva at Fitzsimons (02S294): November 2022,2023-02-02,Healthcare - Nursing Facility,,Adams,2022-11-23,50,28,,,,,78,0,,,,,,,
Balfour at Riverfront Park (23I587): November 2022,2023-03-05,Healthcare - Assisted Living,,Denver,2022-11-23,16,36,,1,,,52,1,,,,,,,
Cheyenne Mountain Center (020573): November 2022,2022-12-14,Healthcare - Nursing Facility,,El Paso,2022-11-23,3,1,,,,,4,0,,,,,,,
Columbine Commons Health and Rehab LLC (02L578): November 2022,2022-12-09,Healthcare - Nursing Facility,,Weld,2022-11-23,,4,,,,,4,0,,,,,,,
Forest Street Compassionate Care Center (02H516): November 2022,2022-12-06,Healthcare - Nursing Facility,,Denver,2022-11-23,1,1,,,,,2,0,,,,,,,
Fraser Valley Elementary School: November 2022,2023-01-08,School K-12,,Grand,2022-11-23,,1,1,,,,2,0,,,,,,,
Frasier Meadows Health Care Center (020301): November 2022,2022-12-07,Healthcare - Nursing Facility,,Boulder,2022-11-23,1,2,,,,,3,0,,,,,,,
Frontier Valley Independent And Assisted Living (2304B1): November 2022,2023-01-13,Healthcare - Assisted Living,,Arapahoe,2022-11-23,11,12,,,,,23,0,,,,,,,
Golden Pond LLC (23P550): November 2022,2022-12-19,Healthcare - Assisted Living,,Jefferson,2022-11-23,7,1,,,,,8,0,,,,,,,
Hilltop Reserve (23J981): November 2022,2022-12-05,Healthcare - Assisted Living,,Denver,2022-11-23,2,,,,,,2,0,,,,,,,
Mountain Vista Assisted Living & Memory Care (2304SY): November 2022,2022-12-13,Healthcare - Assisted Living,,Jefferson,2022-11-23,1,1,,,,,2,0,,,,,,,
Pueblo Regional Center - House H (0506Z3): November 2022,2022-12-20,Healthcare - Intermediate Care,,Colorado,2022-11-23,2,2,,,,,4,0,,,,,,,
Renew Roaring Fork (23F410): November 2022,2022-12-17,Healthcare - Assisted Living,,Garfield,2022-11-23,19,13,,,,,32,0,,,,,,,
The Legacy at Burlington (2301PN): November 2022,2022-12-27,Healthcare - Assisted Living,,Kit Carson,2022-11-23,7,6,,,,,13,0,,,,,,,
Vista House (05081P): November 2022,2022-12-09,Healthcare - RCFDD Group home,,Garfield,2022-11-23,5,1,,,,,6,0,,,,,,,
Golden Orchard I (2304CL): November 2022,2022-12-09,Healthcare - Assisted Living,,Arapahoe,2022-11-24,3,,,,,,3,0,,,,,,,
Keystone Place at Legacy Ridge Assisted Living (23H523): November 2022,2022-12-13,Healthcare - Assisted Living,,Adams,2022-11-25,8,4,,,,,12,0,,,,,,,
The Gardens Care Homes Pinehurst (23R742): November 2022,2022-12-12,Healthcare - Assisted Living,,Jefferson,2022-11-25,9,2,,,,,11,0,,,,,,,
Bonaventure of Pueblo (23Y771): November 2022,2022-12-12,Healthcare - Assisted Living,,Pueblo,2022-11-28,1,,,,,,1,0,,,,,,,
Bookcliff Manor Assisted Living (231118): November 2022,2022-12-05,Healthcare - Assisted Living,,Mesa,2022-11-28,5,5,,,,,10,0,,,,,,,
Brookdale Lowry (2304K7): November 2022,2023-01-18,Healthcare - Assisted Living,,Denver,2022-11-28,16,5,,,,,21,0,,,,,,,
Colorado Youthful Offender Systems: November 2022,2023-01-02,State Prison,,Colorado,2022-11-28,20,27,,,,,47,0,,,,,,,
"Fairacres Manor, Inc. (020369): November 2022",2022-12-05,Healthcare - Nursing Facility,,Weld,2022-11-28,1,2,,,,,3,0,,,,,,,
Good Samaritan Society- Loveland Village Assisted Living (230373): November 2022,2022-12-28,Healthcare - Assisted Living,,Larimer,2022-11-28,7,3,,,,,10,0,,,,,,,
Oakshire Commons (23M641): November 2022,2022-12-15,Healthcare - Assisted Living,,Pueblo,2022-11-28,12,3,,,,,15,0,,,,,,,
"Solange At Eveningsong, Inc (23P691): November 2022",2022-12-09,Healthcare - Assisted Living,,Douglas,2022-11-28,4,1,,,,,5,0,,,,,,,
Sunrise at Orchard (2304NM): November 2022,2022-12-15,Healthcare - Assisted Living,,Arapahoe,2022-11-28,14,1,,,,,15,0,,,,,,,
The Argyle (230464): November 2022,2022-12-26,Healthcare - Assisted Living,,Denver,2022-11-28,14,10,,,,,24,0,,,,,,,
The Village Care and Rehabilitation Center (0204JL): November 2022,2023-01-31,Healthcare - Nursing Facility,,Jefferson,2022-11-28,25,3,,6,,,28,6,,,,,,,
"Valley View Health Care Center, Inc (020643): November 2022 #2",2022-12-25,Healthcare - Nursing Facility,,Fremont,2022-11-28,23,18,,,,,41,0,,,,,,,
Xanadu Assisted Living Residence Inc (23K605),2022-12-15,Healthcare - Assisted Living,,Arapahoe,2022-11-28,6,3,,,,,9,0,,,,,,,
Abundant Blessings and Care Assisted Living- Eastman (23H561): November 2022,2022-12-12,Healthcare - Assisted Living,,Arapahoe,2022-11-29,2,1,,,,,3,0,,,,,,,
Advanced Health Care of Aurora (02D982): November 2022,2022-12-15,Healthcare - Nursing Facility,,Arapahoe,2022-11-29,3,5,,,,,8,0,,,,,,,
Altavita Assisted Living (23F921): November 2022,2022-12-20,Healthcare - Assisted Living,,Boulder,2022-11-29,2,5,,,,,7,0,,,,,,,
Assisted Living At Spring LLC (23D512): November 2022,2022-12-21,Healthcare - Assisted Living,,El Paso,2022-11-29,8,,,,,,8,0,,,,,,,
Crowley County Nursing Center (020248): November 2022,2022-12-26,Healthcare - Nursing Facility,,Crowley,2022-11-29,20,14,,,,,34,0,,,,,,,
Fort Collins Good Samaritan Retirement Village-ALR (230329): November 2022,2022-12-21,Healthcare - Assisted Living,,Larimer,2022-11-29,3,3,,,,,6,0,,,,,,,
Good Samaritan Society Estes Park Village (23L115): December 2022,2022-12-21,Healthcare - Assisted Living,,Larimer,2022-11-29,,3,,,,,3,0,,,,,,,
Grace Manor Care Center (020175): November 2022,2022-12-16,Healthcare - Nursing Facility,,Kit Carson,2022-11-29,3,,,,,,3,0,,,,,,,
Greeley Village LLC (23Q715): November 2022,2023-01-04,Healthcare - Assisted Living,,Weld,2022-11-29,3,3,,,,,6,0,,,,,,,
Hillcrest of Loveland (23E476): November 2022,2023-01-10,Healthcare - Assisted Living,,Larimer,2022-11-29,2,3,,,,,5,0,,,,,,,
Julia Temple Healthcare Center (020418): November 2022,2023-01-04,Healthcare - Nursing Facility,,Arapahoe,2022-11-29,25,8,,,,,33,0,,,,,,,
Lakewood Reserve (23R738): November 2022,2023-01-10,Healthcare - Assisted Living,,Jefferson,2022-11-29,6,6,,,,,12,0,,,,,,,
Lakewood Villa (020443): December 2022,2022-12-22,Healthcare - Nursing Facility,,Jefferson,2022-11-29,,4,,,,,4,0,,,,,,,
Life Care Center of Pueblo (020641): November 2022,2023-01-03,Healthcare - Nursing Facility,,Pueblo,2022-11-29,23,11,,,,,34,0,,,,,,,
Linden Place Health and Rehabilitation Center (020375): November 2022,2022-12-29,Healthcare - Nursing Facility,,Boulder,2022-11-29,34,12,,,,,46,0,,,,,,,
Mesa View (05R426): November 2022,2022-12-13,Healthcare - RCFDD Group home,,Garfield,2022-11-29,1,,,,,,1,0,,,,,,,
Montage Ridge SNF (0204C5): November 2022,2023-01-03,Healthcare - Nursing Facility,,Jefferson,2022-11-29,15,11,,,,,26,0,,,,,,,
Neurorestorative Colorado (02E996): November 2022,2022-12-15,Healthcare - Nursing Facility,,Jefferson,2022-11-29,,5,,,,,5,0,,,,,,,
New Mercer Commons (23036U): November 2022,2022-12-23,Healthcare - Assisted Living,,Larimer,2022-11-29,3,7,,,,,10,0,,,,,,,
Residence at Grand Mesa (23R116): November 2022,2022-12-19,Healthcare - Assisted Living,,Mesa,2022-11-29,2,3,,,,,5,0,,,,,,,
Ridge Pinehurst LLC (23Q698): November 2022,2022-12-19,Healthcare - Assisted Living,,Jefferson,2022-11-29,6,2,,,,,8,0,,,,,,,
The Retreat at Highlands (23O618): November 2022,2022-12-13,Healthcare - Assisted Living,,Jefferson,2022-11-29,9,,,,,,9,0,,,,,,,
Valley View Villa (020195): November 2022,2023-01-25,Healthcare - Nursing Facility,,Morgan,2022-11-29,11,3,,,,,14,0,,,,,,,
Village at Belmar (23Z408): November 2022,2023-01-06,Healthcare - Assisted Living,,Jefferson,2022-11-29,5,2,,,,,7,0,,,,,,,
Bright Sun Assisted Living LLC (2304I7),2022-12-26,Healthcare - Assisted Living,,Jefferson,2022-11-30,1,,,,,,1,0,,,,,,,
Columbine Manor Care Center (020698): November 2022,2022-12-26,Healthcare - Nursing Facility,,Chaffee,2022-11-30,35,11,,,,,46,0,,,,,,,
Health Center at Franklin Park (020439): December 2022,2023-01-06,Healthcare - Nursing Facility,,Denver,2022-11-30,25,15,,,,,40,0,,,,,,,
Hover Manor: November 2022,2023-01-24,Healthcare - Independent Living Facility,,Boulder,2022-11-30,5,1,,,,,6,0,,,,,,,
Legacy Village of Castle Pines LLC (23O530): November 2022 #2,2022-12-21,Healthcare - Assisted Living,,Douglas,2022-11-30,4,2,,,,,6,0,,,,,,,
Oasis House (23E471): November 2022,2022-12-13,Healthcare - Assisted Living,,Pueblo,2022-11-30,,4,,,,,4,0,,,,,,,
Point of the Pines Gardens Assisted Living (23B948): November 2022,2022-12-13,Healthcare - Assisted Living,,El Paso,2022-11-30,1,1,,,,,2,0,,,,,,,
Pueblo Regional Center - House E (0506CR): November 2022,2022-12-20,Healthcare - Intermediate Care,,Colorado,2022-11-30,3,1,,,,,4,0,,,,,,,
Seven Lakes Memory Care (23S218): November 2022,2022-12-16,Healthcare - Assisted Living,,Larimer,2022-11-30,5,2,,,,,7,0,,,,,,,
The Suites At Holly Creek Care Center (02D456): November 2022,2023-01-09,Healthcare - Nursing Facility,,Arapahoe,2022-11-30,4,2,,,,,6,0,,,,,,,
Washington County Justice Center: November 2022,2022-12-15,Jail,,Washington,2022-11-30,11,,,,,,11,0,,,,,,,
Breckenridge Ski Patrol,2023-01-10,Outdoor Entertainment/Rec,,Summit,2022-12-01,,2,,,,,2,0,,,,,,,
Brookdale Briargate (2305B9): November 2022,2022-12-26,Healthcare - Assisted Living,,El Paso,2022-12-01,21,16,,,,,37,0,,,,,,,
Cinnamon Park (230367): November 2022,2022-12-20,Healthcare - Assisted Living,,Boulder,2022-12-01,5,2,,,,,7,0,,,,,,,
HighPointe Assisted Living & Memory Care (23M205): November 2022,2023-01-03,Healthcare - Assisted Living,,Denver,2022-12-01,14,11,,1,,,25,1,,,,,,,
Pine Ridge Extended Care Center (0212V8): December 2022,2022-12-19,Healthcare - Nursing Facility,,Archuleta,2022-12-01,,4,,,,,4,0,,,,,,,
Applewood Our House 4 (23M589): December 2022,2022-12-15,Healthcare - Assisted Living,,Jefferson,2022-12-02,1,,,,,,1,0,,,,,,,
Applewood Our House Assisted Living Facility II (23O617): November 2022,2022-12-16,Healthcare - Assisted Living,,Jefferson,2022-12-02,7,,,2,,,7,2,,,,,,,
Assisted Living of Denver (23O672),2022-12-24,Healthcare - Assisted Living,,Denver,2022-12-02,12,1,,,,,13,0,,,,,,,
Brookdale Littleton (2304SF): November 2022,2022-12-19,Healthcare - Assisted Living,,Jefferson,2022-12-02,1,,,,,,1,0,,,,,,,
