"fips","county","state","r.lm","predicted.lm","r.slm","predicted.slm","date.y","days_from_start.y","log_rolled_cases.y","tau.hat","predicted.grf.future.0","predicted.grf.future.last","D.r.lm","D.r.slm","D.tau.hat","B.D.r.lm","B.D.r.slm","B.D.tau.hat"
18119,"Owen","Indiana",-0.0310583970199714,3.59558284568217,0,3.81299162482197,"2021-04-05",440,3.42936825862885,-0.0264120825474382,3.63275336146243,3.6281070469899,-0.0128760779367768,0,-0.0082466651511765,-1,0,-1
18119,"Owen","Indiana",-0.0418740724710553,3.47799904505352,0,3.77111755235091,"2021-04-06",441,3.3770998300831,-0.037545103235827,3.51263079893535,3.50830182970012,-0.0108156754510839,0,-0.0111330206883888,-1,0,-1
18119,"Owen","Indiana",-0.0368550923891523,3.47627681323769,0,3.73426245996176,"2021-04-07",442,3.3322045101752,-0.033021320285507,3.50694699006685,3.50311321796321,0.005018980081903,0,0.00452378295032,1,0,1
18119,"Owen","Indiana",-0.0489608271956965,3.34257584239618,0,3.68530163276605,"2021-04-08",443,3.31678003984957,-0.0446137081300266,3.37735279492155,3.37300567585586,-0.0121057348065442,0,-0.0115923878445196,-1,0,-1
18119,"Owen","Indiana",-0.0628672780602705,3.18236340828389,0,3.62243435470578,"2021-04-09",444,3.36235754834589,-0.0546864321583993,3.24781017549886,3.23962932959698,-0.013906450864574,0,-0.0100727240283727,-1,0,-1
18119,"Owen","Indiana",-0.0670862932163635,3.08574400897487,0,3.55534806148941,"2021-04-10",445,3.43398720448515,-0.0567619561969586,3.16833870513011,3.1580143681107,-0.00421901515609301,0,-0.0020755240385593,-1,0,-1
18119,"Owen","Indiana",-0.0675362069904858,3.01505840556553,0,3.48781185449893,"2021-04-11",446,3.500827222611,-0.0566650037883146,3.10202803118289,3.09115682798073,-0.000449913774122304,0,9.6952408643998e-05,-1,0,1
18119,"Owen","Indiana",-0.0584435958700777,3.02026308753831,0,3.42936825862885,"2021-04-12",447,3.56751859710967,-0.0516661470997867,3.07448267770064,3.06770522893034,0.00909261112040811,0,0.0049988566885279,1,0,1
18119,"Owen","Indiana",-0.0522684285457483,3.01122083026286,0,3.3770998300831,"2021-04-13",448,3.62624388312245,-0.0491528861105434,3.0361451697445,3.0330296273093,0.0061751673243294,0,0.0025132609892433,1,0,1
18119,"Owen","Indiana",-0.0448953199078911,3.01793727081997,0,3.3322045101752,"2021-04-14",449,3.67810735713203,-0.0437727517911606,3.02691781575381,3.02579524763708,0.0073731086378572,0,0.0053801343193828,1,0,1
18119,"Owen","Indiana",-0.0154244703256296,3.20880874757017,0,3.31678003984957,"2021-04-15",450,3.73766961828337,-0.0188582773804587,3.18133829113153,3.18477209818636,0.0294708495822615,0,0.0249144744107019,1,0,1
18119,"Owen","Indiana",0.0455775084963165,3.68140010782011,0.0455775084963195,3.68140010782013,"2021-04-16",451,3.76120011569356,0.0387614872786481,3.62687193807875,3.63368795929643,0.0610019788219461,0.0455775084963195,0.0576197646591068,1,1,1
